date,IV_ret
1970-01-31,-0.0965871169492706
1970-02-28,-0.0007114081695441671
1970-03-27,0.012791066384144192
1970-04-30,-0.04798238413604349
1970-05-30,-0.13810404373457186
1970-06-29,-0.043460234383026146
1970-07-30,-0.028176821512524014
1970-08-31,-0.0143321870576558
1970-09-30,0.05590370015795133
1970-10-30,0.18786640520838455
1970-11-30,-0.06787713135076177
1970-12-30,-0.040488354764946465
1971-01-31,-0.01595693696272086
1971-02-28,0.11363248962705
1971-03-26,0.03740899554256162
1971-04-30,0.04363661466273146
1971-05-30,0.0236270431289075
1971-06-28,-0.00925533501235793
1971-07-30,-0.031062916023531048
1971-08-30,-0.04590436763690849
1971-09-30,0.030813119714466014
1971-10-30,0.01180148827798031
1971-11-29,-0.037463389639592504
1971-12-30,-0.024601625139862478
1972-01-31,0.04484641206644555
1972-02-29,0.14989442966937544
1972-03-29,0.03687524935001859
1972-04-30,-0.023495344455870152
1972-05-28,-0.00011684474261910906
1972-06-30,-0.009753959679605505
1972-07-30,0.00304776688290535
1972-08-31,-0.04583169906037475
1972-09-30,-0.037353413482447764
1972-10-29,-0.030627202989347076
1972-11-30,-0.04057039819106216
1972-12-30,0.02482696628310132
1973-01-29,-0.0452016513793878
1973-02-28,-0.035731822340282916
1973-03-28,-0.03860688023889429
1973-04-30,-0.004854186278737261
1973-05-30,-0.0392733348164392
1973-06-30,-0.07395474351536646
1973-07-29,0.0033919017133440584
1973-08-31,0.16144478616528896
1973-09-30,0.009149622232236206
1973-10-28,0.04758754098512462
1973-11-30,0.04710817383828843
1973-12-30,-0.036963370555367324
1974-01-31,0.014723579093266916
1974-02-28,0.20540175359605373
1974-03-28,0.010133998272861506
1974-04-29,0.021590847437264388
1974-05-30,-0.013704993450211457
1974-06-30,-0.065124225005602
1974-07-28,0.0037364931695321856
1974-08-31,0.12573949881264165
1974-09-30,0.05664428822791706
1974-10-30,-0.0046735959109915175
1974-11-30,-0.009102298822329019
1974-12-29,0.03039974175506735
